2025-02-03 16:35:33,031 INFO    StreamThr :18576 [internal.py:wandb_internal():85] W&B internal server running at pid: 18576, started at: 2025-02-03 16:35:33.031956
2025-02-03 16:35:33,033 DEBUG   HandlerThread:18576 [handler.py:handle_request():158] handle_request: status
2025-02-03 16:35:33,062 INFO    WriterThread:18576 [datastore.py:open_for_write():87] open: c:\Users\cmdunham\OneDrive\Documents\phd_program\ChemicalDataGeneration\models\wandb\run-20250203_163533-9oxwjwl2\run-9oxwjwl2.wandb
2025-02-03 16:35:33,063 DEBUG   SenderThread:18576 [sender.py:send():378] send: header
2025-02-03 16:35:33,104 DEBUG   SenderThread:18576 [sender.py:send():378] send: run
2025-02-03 16:35:33,425 INFO    SenderThread:18576 [dir_watcher.py:__init__():211] watching files in: c:\Users\cmdunham\OneDrive\Documents\phd_program\ChemicalDataGeneration\models\wandb\run-20250203_163533-9oxwjwl2\files
2025-02-03 16:35:33,425 INFO    SenderThread:18576 [sender.py:_start_run_threads():1123] run started: 9oxwjwl2 with start time 1738618533.033966
2025-02-03 16:35:33,425 DEBUG   HandlerThread:18576 [handler.py:handle_request():158] handle_request: check_version
2025-02-03 16:35:33,425 DEBUG   SenderThread:18576 [sender.py:send_request():405] send_request: check_version
2025-02-03 16:35:33,555 DEBUG   HandlerThread:18576 [handler.py:handle_request():158] handle_request: run_start
2025-02-03 16:35:33,582 DEBUG   HandlerThread:18576 [system_info.py:__init__():26] System info init
2025-02-03 16:35:33,582 DEBUG   HandlerThread:18576 [system_info.py:__init__():41] System info init done
2025-02-03 16:35:33,582 INFO    HandlerThread:18576 [system_monitor.py:start():194] Starting system monitor
2025-02-03 16:35:33,582 INFO    SystemMonitor:18576 [system_monitor.py:_start():158] Starting system asset monitoring threads
2025-02-03 16:35:33,582 INFO    HandlerThread:18576 [system_monitor.py:probe():214] Collecting system info
2025-02-03 16:35:33,582 INFO    SystemMonitor:18576 [interfaces.py:start():188] Started cpu monitoring
2025-02-03 16:35:33,590 INFO    SystemMonitor:18576 [interfaces.py:start():188] Started disk monitoring
2025-02-03 16:35:33,590 INFO    SystemMonitor:18576 [interfaces.py:start():188] Started gpu monitoring
2025-02-03 16:35:33,599 INFO    SystemMonitor:18576 [interfaces.py:start():188] Started memory monitoring
2025-02-03 16:35:33,613 INFO    SystemMonitor:18576 [interfaces.py:start():188] Started network monitoring
2025-02-03 16:35:33,618 DEBUG   HandlerThread:18576 [system_info.py:probe():150] Probing system
2025-02-03 16:35:33,620 DEBUG   HandlerThread:18576 [system_info.py:_probe_git():135] Probing git
2025-02-03 16:35:33,684 DEBUG   HandlerThread:18576 [system_info.py:_probe_git():143] Probing git done
