2024-12-09 22:21:09,384 INFO    StreamThr :186963 [internal.py:wandb_internal():85] W&B internal server running at pid: 186963, started at: 2024-12-09 22:21:09.383846
2024-12-09 22:21:09,385 DEBUG   HandlerThread:186963 [handler.py:handle_request():158] handle_request: status
2024-12-09 22:21:09,387 INFO    WriterThread:186963 [datastore.py:open_for_write():87] open: /home/cmdunham/ChemicalDataGeneration/models/wandb/run-20241209_222103-mayq824i/run-mayq824i.wandb
2024-12-09 22:21:09,388 DEBUG   SenderThread:186963 [sender.py:send():378] send: header
2024-12-09 22:21:09,388 DEBUG   SenderThread:186963 [sender.py:send():378] send: run
2024-12-09 22:21:09,595 INFO    SenderThread:186963 [dir_watcher.py:__init__():211] watching files in: /home/cmdunham/ChemicalDataGeneration/models/wandb/run-20241209_222103-mayq824i/files
2024-12-09 22:21:09,595 INFO    SenderThread:186963 [sender.py:_start_run_threads():1123] run started: mayq824i with start time 1733800868.413845
2024-12-09 22:21:09,611 DEBUG   HandlerThread:186963 [handler.py:handle_request():158] handle_request: check_version
2024-12-09 22:21:09,611 DEBUG   SenderThread:186963 [sender.py:send_request():405] send_request: check_version
2024-12-09 22:21:09,666 DEBUG   HandlerThread:186963 [handler.py:handle_request():158] handle_request: run_start
2024-12-09 22:21:09,667 DEBUG   HandlerThread:186963 [system_info.py:__init__():26] System info init
2024-12-09 22:21:09,667 DEBUG   HandlerThread:186963 [system_info.py:__init__():41] System info init done
2024-12-09 22:21:09,667 INFO    HandlerThread:186963 [system_monitor.py:start():194] Starting system monitor
2024-12-09 22:21:09,667 INFO    SystemMonitor:186963 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-12-09 22:21:09,668 INFO    HandlerThread:186963 [system_monitor.py:probe():214] Collecting system info
2024-12-09 22:21:09,668 INFO    SystemMonitor:186963 [interfaces.py:start():188] Started cpu monitoring
2024-12-09 22:21:09,668 INFO    SystemMonitor:186963 [interfaces.py:start():188] Started disk monitoring
