2025-02-04 00:33:22,596 INFO    MainThread:1951894 [wandb_setup.py:_flush():76] Current SDK version is 0.17.0
2025-02-04 00:33:22,597 INFO    MainThread:1951894 [wandb_setup.py:_flush():76] Configure stats pid to 1951894
2025-02-04 00:33:22,597 INFO    MainThread:1951894 [wandb_setup.py:_flush():76] Loading settings from /home/cmdunham/.config/wandb/settings
2025-02-04 00:33:22,597 INFO    MainThread:1951894 [wandb_setup.py:_flush():76] Loading settings from /home/cmdunham/ChemicalDataGeneration/models/wandb/settings
2025-02-04 00:33:22,597 INFO    MainThread:1951894 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'notebook_name': '/home/cmdunham/ChemicalDataGeneration/models/carl_encoder.ipynb'}
2025-02-04 00:33:22,597 INFO    MainThread:1951894 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2025-02-04 00:33:22,597 INFO    MainThread:1951894 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2025-02-04 00:33:22,597 INFO    MainThread:1951894 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2025-02-04 00:33:22,597 INFO    MainThread:1951894 [wandb_setup.py:_flush():76] Applying login settings: {}
2025-02-04 00:33:22,597 INFO    MainThread:1951894 [wandb_init.py:_log_setup():520] Logging user logs to /home/cmdunham/ChemicalDataGeneration/models/wandb/run-20250204_003322-ynywzuz6/logs/debug.log
2025-02-04 00:33:22,597 INFO    MainThread:1951894 [wandb_init.py:_log_setup():521] Logging internal logs to /home/cmdunham/ChemicalDataGeneration/models/wandb/run-20250204_003322-ynywzuz6/logs/debug-internal.log
2025-02-04 00:33:22,598 INFO    MainThread:1951894 [wandb_init.py:init():560] calling init triggers
2025-02-04 00:33:22,598 INFO    MainThread:1951894 [wandb_init.py:init():567] wandb.init called with sweep_config: {}
config: {'wandb_entity': 'catemerfeld', 'wandb_project': 'ims_encoder_decoder', 'gpu': True, 'threads': 1, 'architecture': 'carl_encoder', 'optimizer': 'AdamW', 'loss': 'MSELoss', 'dataset': 'carls', 'target_embedding': 'ChemNet', 'batch_size': 8, 'epochs': 500, 'learning_rate': 0.001}
2025-02-04 00:33:22,598 INFO    MainThread:1951894 [wandb_init.py:init():610] starting backend
2025-02-04 00:33:22,598 INFO    MainThread:1951894 [wandb_init.py:init():614] setting up manager
2025-02-04 00:33:22,605 INFO    MainThread:1951894 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-02-04 00:33:22,607 INFO    MainThread:1951894 [wandb_init.py:init():622] backend started and connected
2025-02-04 00:33:22,619 INFO    MainThread:1951894 [wandb_init.py:init():711] updated telemetry
2025-02-04 00:33:22,649 INFO    MainThread:1951894 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2025-02-04 00:33:22,967 INFO    MainThread:1951894 [wandb_run.py:_on_init():2396] communicating current version
2025-02-04 00:33:23,027 INFO    MainThread:1951894 [wandb_run.py:_on_init():2405] got version response upgrade_message: "wandb version 0.19.5 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2025-02-04 00:33:23,028 INFO    MainThread:1951894 [wandb_init.py:init():795] starting run threads in backend
2025-02-04 00:33:24,654 INFO    MainThread:1951894 [wandb_run.py:_console_start():2374] atexit reg
2025-02-04 00:33:24,654 INFO    MainThread:1951894 [wandb_run.py:_redirect():2229] redirect: wrap_raw
2025-02-04 00:33:24,654 INFO    MainThread:1951894 [wandb_run.py:_redirect():2294] Wrapping output streams.
2025-02-04 00:33:24,654 INFO    MainThread:1951894 [wandb_run.py:_redirect():2319] Redirects installed.
2025-02-04 00:33:24,656 INFO    MainThread:1951894 [wandb_init.py:init():838] run started, returning control to user process
2025-02-04 01:24:36,785 INFO    MainThread:1951894 [wandb_run.py:_finish():2103] finishing run catemerfeld/ims_encoder_decoder/ynywzuz6
2025-02-04 01:24:36,785 INFO    MainThread:1951894 [wandb_run.py:_atexit_cleanup():2343] got exitcode: 0
2025-02-04 01:24:36,785 INFO    MainThread:1951894 [wandb_run.py:_restore():2326] restore
2025-02-04 01:24:36,786 INFO    MainThread:1951894 [wandb_run.py:_restore():2332] restore done
2025-02-04 01:24:40,876 INFO    MainThread:1951894 [wandb_run.py:_footer_history_summary_info():3994] rendering history
2025-02-04 01:24:40,877 INFO    MainThread:1951894 [wandb_run.py:_footer_history_summary_info():4026] rendering summary
2025-02-04 01:24:40,889 INFO    MainThread:1951894 [wandb_run.py:_footer_sync_info():3953] logging synced files
